3d-rotation	f101
phone-locked	f2b7
phone-missed	f2b8
phone-msg	f2b9
phone-paused	f2ba
phone-ring	f2bb
phone-setting	f2bc
phone-sip	f2bd
phone	f2be
portable-wifi-changes	f2bf
portable-wifi-off	f2c0
portable-wifi	f2c1
radio	f2c2
reader	f2c3
remote-control-alt	f2c4
remote-control	f2c5
router	f2c6
scanner	f2c7
smartphone-android	f2c8
smartphone-download	f2c9
smartphone-erase	f2ca
smartphone-info	f2cb
smartphone-iphone	f2cc
smartphone-landscape-lock	f2cd
smartphone-landscape	f2ce
smartphone-lock	f2cf
smartphone-portrait-lock	f2d0
smartphone-ring	f2d1
smartphone-setting	f2d2
smartphone-setup	f2d3
smartphone	f2d4
speaker	f2d5
tablet-android	f2d6
tablet-mac	f2d7
tablet	f2d8
tv-alt-play	f2d9
tv-list	f2da
tv-play	f2db
tv	f2dc
usb	f2dd
videocam-off	f2de
videocam-switch	f2df
videocam	f2e0
watch	f2e1
wifi-alt-2	f2e2
wifi-alt	f2e3
wifi-info	f2e4
wifi-lock	f2e5
wifi-off	f2e6
wifi-outline	f2e7
wifi	f2e8
arrow-left-bottom	f2e9
arrow-left	f2ea
arrow-merge	f2eb
arrow-missed	f2ec
arrow-right-top	f2ed
arrow-right	f2ee
arrow-split	f2ef
arrows	f2f0
caret-down-circle	f2f1
caret-down	f2f2
caret-left-circle	f2f3
caret-left	f2f4
caret-right-circle	f2f5
caret-right	f2f6
caret-up-circle	f2f7
caret-up	f2f8
chevron-down	f2f9
chevron-left	f2fa
chevron-right	f2fb
chevron-up	f2fc
forward	f2fd
long-arrow-down	f2fe
long-arrow-left	f2ff
long-arrow-return	f300
long-arrow-right	f301
long-arrow-tab	f302
long-arrow-up	f303
rotate-ccw	f304
rotate-cw	f305
rotate-left	f306
rotate-right	f307
square-down	f308
square-right	f309
swap-alt	f30a
swap-vertical-circle	f30b
swap-vertical	f30c
swap	f30d
trending-down	f30e
trending-flat	f30f
trending-up	f310
unfold-less	f311
unfold-more	f312
apps	f313
grid-off	f314
grid	f315
view-agenda	f316
view-array	f317
view-carousel	f318
view-column	f319
view-comfy	f31a
view-compact	f31b
view-dashboard	f31c
view-day	f31d
view-headline	f31e
view-list-alt	f31f
view-list	f320
view-module	f321
view-quilt	f322
view-stream	f323
view-subtitles	f324
view-toc	f325
view-web	f326
view-week	f327
widgets	f328
alarm-check	f329
alarm-off	f32a
alarm-plus	f32b
alarm-snooze	f32c
alarm	f32d
calendar-alt	f32e
calendar-check	f32f
calendar-close	f330
calendar-note	f331
calendar	f332
time-countdown	f333
time-interval	f334
time-restore-setting	f335
time-restore	f336
time	f337
timer-off	f338
timer	f339
android-alt	f33a
android	f33b
apple	f33c
behance	f33d
codepen	f33e
dribbble	f33f
dropbox	f340
evernote	f341
facebook-box	f342
facebook	f343
github-box	f344
github	f345
google-drive	f346
google-earth	f347
google-glass	f348
google-maps	f349
google-pages	f34a
google-play	f34b
google-plus-box	f34c
google-plus	f34d
google	f34e
instagram	f34f
language-css3	f350
language-html5	f351
language-javascript	f352
language-python-alt	f353
language-python	f354
lastfm	f355
linkedin-box	f356
paypal	f357
pinterest-box	f358
pocket	f359
polymer	f35a
share	f35b
stackoverflow	f35c
steam-square	f35d
steam	f35e
twitter-box	f35f
twitter	f360
vk	f361
wikipedia	f362
windows	f363
aspect-ratio-alt	f364
aspect-ratio	f365
blur-circular	f366
blur-linear	f367
blur-off	f368
blur	f369
brightness-2	f36a
brightness-3	f36b
brightness-4	f36c
brightness-5	f36d
brightness-6	f36e
brightness-7	f36f
brightness-auto	f370
brightness-setting	f371
broken-image	f372
center-focus-strong	f373
center-focus-weak	f374
compare	f375
crop-16-9	f376
crop-3-2	f377
crop-5-4	f378
